pass_num;surname;given_name;signature;date_of_birth;date_of_issue;date_of_expiry;sex;place_of_birth;place_of_issue;authority;authority_code;height_cm;personal_number;nationality;nationality_in;nationality_code;document_type;mrz_line1;mrz_line2;mrz;gender
K2294558;GUPTA;AMIT;Amit Gupta;08.07.1994;02.02.2024;02.02.2034;M;BANGALORE,KARNATAKA;PANAJI;PASSPORT OFFICE;PAS 269768;182;9723661714;INDIAN;भारतीय;IND;P;P<INDGUPTA<<AMIT<<<<<<<<<<<<<<<<<<<<<<<<<<<<;K2294558<7IND9407082M3402029<<<<<<<<<<<<<<08;"P<INDGUPTA<<AMIT<<<<<<<<<<<<<<<<<<<<<<<<<<<<K2294558<7IND9407082M3402029<<<<<<<<<<<<<<08";male
M6308467;IYER;NITIN;Nitin Iyer;22.08.1965;24.12.2022;24.12.2032;M;MUMBAI,MAHARASHTRA;CHANDIGARH;PASSPORT OFFICE;PAS 537762;193;7466760231;INDIAN;भारतीय;IND;P;P<INDIYER<<NITIN<<<<<<<<<<<<<<<<<<<<<<<<<<<<;M6308467<6IND6508221M3212242<<<<<<<<<<<<<<04;"P<INDIYER<<NITIN<<<<<<<<<<<<<<<<<<<<<<<<<<<<M6308467<6IND6508221M3212242<<<<<<<<<<<<<<04";male
B9826907;GUPTA;NEHA;Neha Gupta;08.05.1967;12.05.2022;12.05.2032;F;PUNE,MAHARASHTRA;MUMBAI;MINISTRY OF EXTERNAL AFFAIRS;MIN 922390;181;5528519005;INDIAN;भारतीय;IND;P;P<INDGUPTA<<NEHA<<<<<<<<<<<<<<<<<<<<<<<<<<<<;B9826907<4IND6705086F3205127<<<<<<<<<<<<<<08;"P<INDGUPTA<<NEHA<<<<<<<<<<<<<<<<<<<<<<<<<<<<B9826907<4IND6705086F3205127<<<<<<<<<<<<<<08";female
V1770786;REDDY;RITU;Ritu Reddy;13.09.2002;14.12.2026;14.12.2036;F;LUCKNOW,UTTAR PRADESH;MUMBAI;MINISTRY OF EXTERNAL AFFAIRS;MIN 456084;168;5914989554;INDIAN;भारतीय;IND;P;P<INDREDDY<<RITU<<<<<<<<<<<<<<<<<<<<<<<<<<<<;V1770786<7IND0209135F3612141<<<<<<<<<<<<<<02;"P<INDREDDY<<RITU<<<<<<<<<<<<<<<<<<<<<<<<<<<<V1770786<7IND0209135F3612141<<<<<<<<<<<<<<02";female
X2722587;IYER;SAPNA;Sapna Iyer;11.09.1972;02.02.2025;02.02.2035;F;HYDERABAD,TELANGANA;CHENNAI;PASSPORT OFFICE;PAS 865007;159;344931839;INDIAN;भारतीय;IND;P;P<INDIYER<<SAPNA<<<<<<<<<<<<<<<<<<<<<<<<<<<<;X2722587<6IND7209112F3502022<<<<<<<<<<<<<<00;"P<INDIYER<<SAPNA<<<<<<<<<<<<<<<<<<<<<<<<<<<<X2722587<6IND7209112F3502022<<<<<<<<<<<<<<00";female
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
